,Smiles,sdg
503,CCc1cc(C)c(C)cc1C,346.0
504,Clc1ccccc1Cl,343.0
505,O=C=Nc1ccc(Cl)c(Cl)c1,386.0
506,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,410.0
507,CCc1ccccc1CC,327.0
508,Cc1ccccc1C,299.0
509,CCCc1cccc(C)c1C,349.0
510,Clc1cc(Cl)cc(Cl)c1,362.0
511,Cc1cc(C)cc(C)c1,314.0
512,CC(C)c1cccc(C(C)C)c1,339.0
513,Brc1cccc(Br)c1,367.0
514,Clc1cccc(Cl)c1,332.0
515,C=Cc1cccc(C=C)c1,319.0
516,CCc1cccc(CC)c1,325.0
517,Cc1c(N=C=O)cccc1N=C=O,388.0
518,Cc1cccc(C)c1,298.0
519,CC(C)(C)c1ccc(C(C)(C)C)cc1,364.0
520,CC(C)c1ccc(C(C)C)cc1,346.0
521,CCc1ccc(CC)cc1,327.0
522,Cc1ccc(C)cc1,297.0
523,Cc1ccccc1Cl,316.0
524,Cc1ccc(Cl)cc1,319.0
525,C=Cc1ccccc1CC,331.0
526,C=Cc1ccccc1C,321.0
527,C=Cc1cccc(CC)c1,334.0
528,C=Cc1cccc(C)c1,315.0
529,C=Cc1ccc(C(=C)C)cc1,361.0
530,C=Cc1ccc(CC(C)C)cc1,374.0
531,C=Cc1ccc(CC)cc1,335.0
532,C=Cc1ccc(C)cc1,318.0
533,CCc1ccc(C)cc1C,330.0
534,CCc1ccccc1C(C)C,331.0
535,CCc1cccc(C)c1C,335.0
536,CCc1ccccc1C,315.0
537,CCc1cccc(C)c1,311.0
538,CCc1ccc(CCc2ccccc2)cc1,403.0
539,CCc1ccc(C)cc1,312.0
540,CC=Cc1ccc(OC)cc1,372.0
541,Cc1ccccc1C(C)C,320.0
542,Cc1ccccc1[N+](=O)[O-],378.0
543,CCCc1ccccc1C,327.0
544,Cc1cccc(OC(C)C)c1,358.0
545,Cc1cccc(C(C)C)c1,319.0
546,Cc1cccc([N+](=O)[O-])c1,373.0
547,CCCc1cccc(C)c1,325.0
548,Cc1ccc(C(C)C)cc1,318.0
549,CCCc1ccc(C)cc1,326.0
550,CC(C)c1ccccc1,304.0
551,C/C=C/c1ccccc1,327.0
552,C/C=C\c1ccccc1,325.0
553,CCc1ccc(C(C)(C)C)cc1,345.0
554,Cc1ccc(Cl)cc1Cl,352.0
555,CCc1cc(C)ccc1C,329.0
556,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],417.0
557,Brc1ccccc1,316.0
558,CCCCc1ccccc1,326.0
559,Clc1ccccc1,295.0
560,c1ccc(C2CCCCC2)cc1,369.0
561,CCCCCCCCCCc1ccccc1,411.0
562,CCCCCCCCCCCCc1ccccc1,436.0
563,C=Cc1ccccc1,303.0
564,CCOc1ccccc1,325.0
565,CCc1ccccc1,294.0
566,CCCCCCCc1ccccc1,372.0
567,CCc1c(CC)c(CC)c(CC)c(CC)c1CC,409.0
568,CCCCCCc1ccccc1,357.0
569,COc1ccccc1,315.0
570,Cc1ccccc1,278.0
571,O=[N+]([O-])c1ccccc1,364.0
572,CCCCCCCCCc1ccccc1,398.0
573,CCCCCCCCCCCCCCCCCCc1ccccc1,486.0
574,CCCCCCCCc1ccccc1,387.0
575,CCCCCCCCCCCCCCCc1ccccc1,464.0
576,CCc1cc(CC)c(CC)c(CC)c1CC,395.0
577,Cc1cc(C)c(C)c(C)c1C,360.0
578,CCCCCc1ccccc1,344.0
579,CCCc1ccccc1,309.0
580,CCCCCCCCCCCCCCc1ccccc1,453.0
581,CCCCCCCCCCCCCc1ccccc1,443.0
582,CCCCCCCCCCCc1ccccc1,423.0
583,c1ccc(CC(c2ccccc2)c2ccccc2)cc1,445.0
584,CCc1cc(CC)cc(CC)c1,351.0
585,CC(C=O)c1ccccc1,336.0
586,COc1ccc(CC(=O)O)cc1,435.0
587,CC(C)Cc1ccc(C(C)C(=O)O)cc1,438.0
588,N#CCc1ccccc1,373.0
589,CC(CO)c1ccccc1,379.0
590,NCc1ccccc1,339.0
591,OCc1ccccc1,364.0
592,Cc1ccccc1CO,373.0
593,Cc1cccc(CO)c1,375.0
594,Cc1ccc(CO)cc1,371.0
595,OCCCc1ccccc1,384.0
596,Sc1ccccc1,327.0
597,c1ccc2sccc2c1,383.15
598,Cc1cc2cccc(C)c2s1,382.0
599,Cc1cc2ccccc2s1,386.15
600,O=C(O)c1ccccc1,407.0
601,CC(=O)Oc1ccccc1C(=O)O,434.0
602,O=C(O)c1ccccc1Cl,434.0
